pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
176;1;1;1;A;1;612292.43549;5729330.04397;40343;f
177;1;1;1;A;1;612294.63249;5729332.6624;40343.2;f
178;1;1;1;A;1;612296.9808;5729335.2736;40343.4;f
179;1;1;1;A;1;612299.40929;5729337.68511;40343.6;f
180;1;1;1;A;1;612301.90511;5729340.17798;40343.8;f
181;1;1;1;A;1;612304.59945;5729342.48416;40344;t
182;1;1;1;A;1;612307.38085;5729344.56976;40344.2;f
183;1;1;1;A;1;612310.23182;5729346.63597;40344.4;f
184;1;1;1;A;1;612313.09377;5729348.50084;40344.6;f
185;1;1;1;A;1;612315.95606;5729350.3447;40344.8;f
186;1;1;1;A;1;612318.94601;5729352.09076;40345;f
187;1;1;1;A;1;612321.88876;5729353.72445;40345.2;f
188;1;1;1;A;1;612324.88543;5729355.44957;40345.4;f
189;1;1;1;A;1;612327.89074;5729357.08465;40345.6;f
190;1;1;1;A;1;612330.83146;5729358.8086;40345.8;f
191;1;1;1;A;1;612333.76768;5729360.44215;40346;f
192;1;1;1;A;1;612336.6393;5729362.16456;40346.2;f
193;1;1;1;A;1;612339.50193;5729363.99804;40346.4;f
194;1;1;1;A;1;612342.2995;5729365.94133;40346.6;f
195;1;1;1;A;1;612345.15278;5729367.89625;40346.8;f
196;1;1;1;A;1;612347.95023;5729369.8501;40347;f
197;1;1;1;A;1;612350.80589;5729371.7044;40347.2;f
198;1;1;1;A;1;612353.66815;5729373.54828;40347.4;f
199;1;1;1;A;1;612356.46345;5729375.59229;40347.6;f
200;1;1;1;A;1;612359.25179;5729377.65713;40347.8;f
201;1;1;1;A;1;612362.04012;5729379.72196;40348;f
202;1;1;1;A;1;612364.76587;5729381.78541;40348.2;f
203;1;1;1;A;1;612367.42252;5729383.84732;40348.4;f
204;1;1;1;A;1;612370.07489;5729385.80836;40348.6;f
205;1;1;1;A;1;612372.78772;5729387.86094;40348.8;f
206;1;1;1;A;1;612375.56951;5729389.92564;40349;f
207;1;1;1;A;1;612378.42054;5729391.99197;40349.2;f
208;1;1;1;A;1;612381.21526;5729394.05688;40349.4;f
209;1;1;1;A;1;612384.07063;5729395.92168;40349.6;f
210;1;1;1;A;1;612387.05815;5729397.76845;40349.8;f
211;1;1;1;A;1;612390.18611;5729399.51758;40350;f
212;1;1;1;A;1;612393.45698;5729401.05786;40350.2;f
213;1;1;1;A;1;612396.80393;5729402.57886;40350.4;f
214;1;1;1;A;1;612400.15963;5729403.99928;40350.6;f
215;1;1;1;A;1;612403.45284;5729405.40777;40350.8;f
216;1;1;1;A;1;612406.79999;5729406.91827;40351;f
217;1;1;1;A;1;612410.09326;5729408.33738;40351.2;f
218;1;1;1;A;1;612413.37772;5729409.84644;40351.4;f
219;1;1;1;A;1;612416.59948;5729411.36466;40351.6;f
220;1;1;1;A;1;612419.81025;5729413.08417;40351.8;f
221;1;1;1;A;1;612422.95797;5729414.82327;40352;f
222;1;1;1;A;1;612425.97177;5729416.66015;40352.2;f
223;1;1;1;A;1;612428.90735;5729418.60646;40352.4;f
224;1;1;1;A;1;612431.96157;5729420.56608;40352.6;f
225;1;1;1;A;1;612435.03308;5729422.32442;40352.8;f
226;1;1;1;A;1;612438.16998;5729423.96252;40353;f
227;1;1;1;A;1;612441.25107;5729425.58888;40353.2;f
228;1;1;1;A;1;612444.45528;5729427.01647;40353.4;t
229;1;1;1;A;1;612447.74006;5729428.22334;40353.6;f
230;1;1;1;A;1;612451.16147;5729429.21073;40353.8;f
231;1;1;1;A;1;612454.59864;5729430.07671;40354;f
232;1;1;1;A;1;612457.97571;5729430.83009;40354.2;f
233;1;1;1;A;1;612461.35532;5729431.16998;40354.4;f
234;1;1;1;A;1;612464.79873;5729431.4693;40354.6;f
235;1;1;1;A;1;612468.18806;5729431.66665;40354.8;f
236;1;1;1;A;1;612471.63829;5729431.65334;40355;f
237;1;1;1;A;1;612475.09777;5729431.51848;40355.2;f
238;1;1;1;A;1;612478.55974;5729431.27241;40355.4;f
239;1;1;1;A;1;612481.96161;5729430.91375;40355.6;f
240;1;1;1;A;1;612485.36153;5729430.34305;40355.8;f
241;1;1;1;A;1;612488.76222;5729429.7513;40356;f
242;1;1;1;A;1;612492.22984;5729428.95957;40356.2;f
243;1;1;1;A;1;612495.63723;5729428.34701;40356.4;f
244;1;1;1;A;1;612499.03776;5729427.7553;40356.6;f
245;1;1;1;A;1;612502.43606;5729427.26428;40356.8;f
246;1;1;1;A;1;612505.82964;5729426.98517;40357;f
247;1;1;1;A;1;612509.21825;5729426.92847;40357.2;f
248;1;1;1;A;1;612512.66672;5729426.99489;40357.4;f
249;1;1;1;A;1;612516.05442;5729427.27197;40357.6;f
250;1;1;1;A;1;612519.42823;5729427.87198;40357.8;t
251;1;1;1;A;1;612522.672;5729428.70219;40358;f
252;1;1;1;A;1;612525.83281;5729429.85379;40358.2;f
253;1;1;1;A;1;612528.91693;5729431.33741;40358.4;f
254;1;1;1;A;1;612531.98944;5729433.05385;40358.6;f
255;1;1;1;A;1;612534.99894;5729434.78994;40358.8;f
256;1;1;1;A;1;612537.93934;5729436.52449;40359;f
257;1;1;1;A;1;612540.86871;5729438.46028;40359.2;f
258;1;1;1;A;1;612543.67024;5729440.51499;40359.4;f
259;1;1;1;A;1;612546.33109;5729442.67784;40359.6;f
260;1;1;1;A;1;612548.97852;5729444.8508;40359.8;f
261;1;1;1;A;1;612551.56125;5729447.12315;40360;t
262;1;1;1;A;1;612554.00996;5729449.50389;40360.2;f
263;1;1;1;A;1;612556.38035;5729451.99394;40360.4;f
264;1;1;1;A;1;612558.61669;5729454.59235;40360.6;f
265;1;1;1;A;1;612560.77493;5729457.30029;40360.8;f
266;1;1;1;A;1;612562.80128;5729460.01581;40361;f
267;1;1;1;A;1;612564.55982;5729462.92683;40361.2;f
268;1;1;1;A;1;612566.3543;5729465.8597;40361.4;f
269;1;1;1;A;1;612568.0302;5729468.78993;40361.6;f
